path,relative_path,group,filename,extension,width,height,orientation,megapixels,entropy,contrast,luminance,bytes
C:\Users\seong\OneDrive\Desktop\2025\[사진] 2025 여름수련회 (천진중앙교회연주)\KakaoTalk_20250723_095549131.jpg,2025/[사진] 2025 여름수련회 (천진중앙교회연주)/KakaoTalk_20250723_095549131.jpg,2025 / [사진] 2025 여름수련회 (천진중앙교회연주),KakaoTalk_20250723_095549131.jpg,.jpg,1440,1080,landscape,1.56,7.54,57.403,143.539,553145
C:\Users\seong\OneDrive\Desktop\2025\[사진] 2025 여름수련회 (천진중앙교회연주)\KakaoTalk_20250723_095549131_01.jpg,2025/[사진] 2025 여름수련회 (천진중앙교회연주)/KakaoTalk_20250723_095549131_01.jpg,2025 / [사진] 2025 여름수련회 (천진중앙교회연주),KakaoTalk_20250723_095549131_01.jpg,.jpg,1440,1080,landscape,1.56,7.556,57.511,142.716,555069
C:\Users\seong\OneDrive\Desktop\2025\[사진] 2025 여름수련회 (천진중앙교회연주)\KakaoTalk_20250723_095549131_02.jpg,2025/[사진] 2025 여름수련회 (천진중앙교회연주)/KakaoTalk_20250723_095549131_02.jpg,2025 / [사진] 2025 여름수련회 (천진중앙교회연주),KakaoTalk_20250723_095549131_02.jpg,.jpg,1440,1080,landscape,1.56,7.576,58.732,146.61,560523
C:\Users\seong\OneDrive\Desktop\2025\[사진] 2025 여름수련회 (천진중앙교회연주)\KakaoTalk_20250723_095549131_03.jpg,2025/[사진] 2025 여름수련회 (천진중앙교회연주)/KakaoTalk_20250723_095549131_03.jpg,2025 / [사진] 2025 여름수련회 (천진중앙교회연주),KakaoTalk_20250723_095549131_03.jpg,.jpg,1440,1080,landscape,1.56,7.767,62.457,140.58,669178
C:\Users\seong\OneDrive\Desktop\2025\[사진] 2025 여름수련회 (천진중앙교회연주)\KakaoTalk_20250723_095549131_04.jpg,2025/[사진] 2025 여름수련회 (천진중앙교회연주)/KakaoTalk_20250723_095549131_04.jpg,2025 / [사진] 2025 여름수련회 (천진중앙교회연주),KakaoTalk_20250723_095549131_04.jpg,.jpg,1440,1080,landscape,1.56,7.723,62.121,146.308,675090
C:\Users\seong\OneDrive\Desktop\2025\[사진] 2025 여름수련회 (천진중앙교회연주)\KakaoTalk_20250723_203414740.jpg,2025/[사진] 2025 여름수련회 (천진중앙교회연주)/KakaoTalk_20250723_203414740.jpg,2025 / [사진] 2025 여름수련회 (천진중앙교회연주),KakaoTalk_20250723_203414740.jpg,.jpg,1440,1080,landscape,1.56,7.087,46.325,120.514,550910
C:\Users\seong\OneDrive\Desktop\2025\[사진] 2025 여름수련회 (천진중앙교회연주)\KakaoTalk_20250723_203414740_01.jpg,2025/[사진] 2025 여름수련회 (천진중앙교회연주)/KakaoTalk_20250723_203414740_01.jpg,2025 / [사진] 2025 여름수련회 (천진중앙교회연주),KakaoTalk_20250723_203414740_01.jpg,.jpg,1440,1080,landscape,1.56,7.13,47.905,127.106,560947
C:\Users\seong\OneDrive\Desktop\2025\[사진] 2025 여름수련회 (천진중앙교회연주)\KakaoTalk_20250723_203414740_02.jpg,2025/[사진] 2025 여름수련회 (천진중앙교회연주)/KakaoTalk_20250723_203414740_02.jpg,2025 / [사진] 2025 여름수련회 (천진중앙교회연주),KakaoTalk_20250723_203414740_02.jpg,.jpg,1440,1080,landscape,1.56,7.262,47.252,129.976,564863
C:\Users\seong\OneDrive\Desktop\2025\[사진] 2025 여름수련회 (천진중앙교회연주)\KakaoTalk_20250723_203414740_03.jpg,2025/[사진] 2025 여름수련회 (천진중앙교회연주)/KakaoTalk_20250723_203414740_03.jpg,2025 / [사진] 2025 여름수련회 (천진중앙교회연주),KakaoTalk_20250723_203414740_03.jpg,.jpg,1440,1080,landscape,1.56,7.15,46.842,118.358,533431
C:\Users\seong\OneDrive\Desktop\2025\[사진] 2025 여름수련회 (천진중앙교회연주)\KakaoTalk_20250723_203414740_04.jpg,2025/[사진] 2025 여름수련회 (천진중앙교회연주)/KakaoTalk_20250723_203414740_04.jpg,2025 / [사진] 2025 여름수련회 (천진중앙교회연주),KakaoTalk_20250723_203414740_04.jpg,.jpg,1440,1080,landscape,1.56,7.392,51.721,132.868,532538
C:\Users\seong\OneDrive\Desktop\2025\[사진] 2025 여름수련회 (천진중앙교회연주)\KakaoTalk_20250723_203414740_05.jpg,2025/[사진] 2025 여름수련회 (천진중앙교회연주)/KakaoTalk_20250723_203414740_05.jpg,2025 / [사진] 2025 여름수련회 (천진중앙교회연주),KakaoTalk_20250723_203414740_05.jpg,.jpg,1440,1080,landscape,1.56,7.296,46.274,117.716,566973
C:\Users\seong\OneDrive\Desktop\2025\[사진] 2025 여름수련회 (천진중앙교회연주)\KakaoTalk_20250723_203435313.jpg,2025/[사진] 2025 여름수련회 (천진중앙교회연주)/KakaoTalk_20250723_203435313.jpg,2025 / [사진] 2025 여름수련회 (천진중앙교회연주),KakaoTalk_20250723_203435313.jpg,.jpg,1440,1081,landscape,1.56,7.721,65.214,134.516,457096
C:\Users\seong\OneDrive\Desktop\2025\[사진] 2025 여름수련회 (천진중앙교회연주)\KakaoTalk_20250723_203435313_01.jpg,2025/[사진] 2025 여름수련회 (천진중앙교회연주)/KakaoTalk_20250723_203435313_01.jpg,2025 / [사진] 2025 여름수련회 (천진중앙교회연주),KakaoTalk_20250723_203435313_01.jpg,.jpg,1440,1081,landscape,1.56,7.759,65.786,134.21,465187
C:\Users\seong\OneDrive\Desktop\2025\[사진] 2025 여름수련회 (천진중앙교회연주)\KakaoTalk_20250723_203435313_02.jpg,2025/[사진] 2025 여름수련회 (천진중앙교회연주)/KakaoTalk_20250723_203435313_02.jpg,2025 / [사진] 2025 여름수련회 (천진중앙교회연주),KakaoTalk_20250723_203435313_02.jpg,.jpg,1440,1081,landscape,1.56,7.764,66.18,133.131,464668
C:\Users\seong\OneDrive\Desktop\2025\[사진] 2025 여름수련회 (천진중앙교회연주)\KakaoTalk_20250723_203435313_03.jpg,2025/[사진] 2025 여름수련회 (천진중앙교회연주)/KakaoTalk_20250723_203435313_03.jpg,2025 / [사진] 2025 여름수련회 (천진중앙교회연주),KakaoTalk_20250723_203435313_03.jpg,.jpg,1440,1081,landscape,1.56,7.768,66.961,132.693,484825
C:\Users\seong\OneDrive\Desktop\2025\[사진] 2025 여름수련회 (천진중앙교회연주)\KakaoTalk_20250723_203435313_04.jpg,2025/[사진] 2025 여름수련회 (천진중앙교회연주)/KakaoTalk_20250723_203435313_04.jpg,2025 / [사진] 2025 여름수련회 (천진중앙교회연주),KakaoTalk_20250723_203435313_04.jpg,.jpg,1440,1081,landscape,1.56,7.706,59.123,128.528,519967
C:\Users\seong\OneDrive\Desktop\2025\[사진] 2025 여름수련회 (천진중앙교회연주)\KakaoTalk_20250723_203435313_05.jpg,2025/[사진] 2025 여름수련회 (천진중앙교회연주)/KakaoTalk_20250723_203435313_05.jpg,2025 / [사진] 2025 여름수련회 (천진중앙교회연주),KakaoTalk_20250723_203435313_05.jpg,.jpg,1440,1081,landscape,1.56,7.699,59.66,129.91,519502
C:\Users\seong\OneDrive\Desktop\2025\[사진] 2025 여름수련회 (천진중앙교회연주)\KakaoTalk_20250723_203435313_06.jpg,2025/[사진] 2025 여름수련회 (천진중앙교회연주)/KakaoTalk_20250723_203435313_06.jpg,2025 / [사진] 2025 여름수련회 (천진중앙교회연주),KakaoTalk_20250723_203435313_06.jpg,.jpg,1440,1081,landscape,1.56,7.7,59.832,130.055,520101
C:\Users\seong\OneDrive\Desktop\2025\[사진] 2025 여름수련회 (천진중앙교회연주)\KakaoTalk_20250723_203435313_07.jpg,2025/[사진] 2025 여름수련회 (천진중앙교회연주)/KakaoTalk_20250723_203435313_07.jpg,2025 / [사진] 2025 여름수련회 (천진중앙교회연주),KakaoTalk_20250723_203435313_07.jpg,.jpg,1440,1081,landscape,1.56,7.669,59.948,130.614,519345
C:\Users\seong\OneDrive\Desktop\2025\[사진] 2025 여름수련회 (천진중앙교회연주)\KakaoTalk_20250723_203435313_08.jpg,2025/[사진] 2025 여름수련회 (천진중앙교회연주)/KakaoTalk_20250723_203435313_08.jpg,2025 / [사진] 2025 여름수련회 (천진중앙교회연주),KakaoTalk_20250723_203435313_08.jpg,.jpg,1440,1081,landscape,1.56,7.692,60.576,131.693,511351
C:\Users\seong\OneDrive\Desktop\2025\[사진] 2025 여름수련회 (천진중앙교회연주)\KakaoTalk_20250723_203435313_09.jpg,2025/[사진] 2025 여름수련회 (천진중앙교회연주)/KakaoTalk_20250723_203435313_09.jpg,2025 / [사진] 2025 여름수련회 (천진중앙교회연주),KakaoTalk_20250723_203435313_09.jpg,.jpg,1440,1081,landscape,1.56,7.825,60.423,123.002,570379
C:\Users\seong\OneDrive\Desktop\2025\[사진] 2025 여름수련회 (천진중앙교회연주)\KakaoTalk_20250723_203435313_10.jpg,2025/[사진] 2025 여름수련회 (천진중앙교회연주)/KakaoTalk_20250723_203435313_10.jpg,2025 / [사진] 2025 여름수련회 (천진중앙교회연주),KakaoTalk_20250723_203435313_10.jpg,.jpg,1440,1081,landscape,1.56,7.82,60.211,122.623,592479
C:\Users\seong\OneDrive\Desktop\2025\[사진] 2025 여름수련회 (천진중앙교회연주)\KakaoTalk_20250723_203435313_11.jpg,2025/[사진] 2025 여름수련회 (천진중앙교회연주)/KakaoTalk_20250723_203435313_11.jpg,2025 / [사진] 2025 여름수련회 (천진중앙교회연주),KakaoTalk_20250723_203435313_11.jpg,.jpg,1440,1081,landscape,1.56,7.827,60.454,123.565,603826
C:\Users\seong\OneDrive\Desktop\2025\[사진] 2025 여름수련회 (천진중앙교회연주)\KakaoTalk_20250723_203435313_12.jpg,2025/[사진] 2025 여름수련회 (천진중앙교회연주)/KakaoTalk_20250723_203435313_12.jpg,2025 / [사진] 2025 여름수련회 (천진중앙교회연주),KakaoTalk_20250723_203435313_12.jpg,.jpg,1440,1081,landscape,1.56,7.823,60.103,122.427,603902
C:\Users\seong\OneDrive\Desktop\2025\[사진] 2025 여름수련회 (천진중앙교회연주)\KakaoTalk_20250723_203435313_13.jpg,2025/[사진] 2025 여름수련회 (천진중앙교회연주)/KakaoTalk_20250723_203435313_13.jpg,2025 / [사진] 2025 여름수련회 (천진중앙교회연주),KakaoTalk_20250723_203435313_13.jpg,.jpg,1440,1081,landscape,1.56,7.822,60.512,121.879,604646
C:\Users\seong\OneDrive\Desktop\2025\[사진] 2025 여름수련회 (천진중앙교회연주)\KakaoTalk_20250723_203435313_14.jpg,2025/[사진] 2025 여름수련회 (천진중앙교회연주)/KakaoTalk_20250723_203435313_14.jpg,2025 / [사진] 2025 여름수련회 (천진중앙교회연주),KakaoTalk_20250723_203435313_14.jpg,.jpg,1440,1081,landscape,1.56,7.822,61.07,124.233,605624
C:\Users\seong\OneDrive\Desktop\2025\[사진] 2025 여름수련회 (천진중앙교회연주)\KakaoTalk_20250723_203435313_15.jpg,2025/[사진] 2025 여름수련회 (천진중앙교회연주)/KakaoTalk_20250723_203435313_15.jpg,2025 / [사진] 2025 여름수련회 (천진중앙교회연주),KakaoTalk_20250723_203435313_15.jpg,.jpg,1440,1081,landscape,1.56,7.79,59.439,128.758,576262
